time,"water_level (m, NAVD88)",qc_water_level
6/3/23 12:25,1.2099734,0
6/3/23 12:30,1.1664934,0
6/3/23 12:35,1.1333934,0
6/3/23 12:40,1.0817634,0
6/3/23 12:45,1.0436134,0
6/3/23 12:50,0.9925834,0
6/3/23 12:55,0.9538534,0
6/3/23 13:00,0.9077934,0
6/3/23 13:05,0.8579234,0
6/3/23 13:10,0.8155234,0
6/3/23 13:15,0.7602734,0
6/3/23 13:20,0.7138734,0
6/3/23 13:25,0.6635634,0
6/3/23 13:30,0.6202134,0
6/3/23 13:35,0.5683334,0
6/3/23 13:40,0.5232434,0
6/3/23 13:45,0.4630734,0
6/3/23 13:50,0.4063734,0
6/3/23 13:55,0.3612334,0
6/3/23 14:00,0.3020534,0
6/3/23 14:05,0.2541234,0
6/3/23 14:10,0.2011234,0
6/3/23 14:15,0.1443134,0
6/3/23 14:20,0.0988134,0
6/3/23 14:25,0.0478934,0
6/3/23 14:30,-0.0052766,0
6/3/23 14:35,-0.0434166,0
6/3/23 14:40,-0.0954366,0
6/3/23 14:45,-0.1340766,0
6/3/23 14:50,-0.1748766,0
6/3/23 14:55,-0.2316666,0
6/3/23 15:00,-0.2584266,0
6/3/23 15:05,-0.3061966,0
6/3/23 15:10,-0.3388766,0
6/3/23 15:15,-0.3920566,0
6/3/23 15:20,-0.4258466,0
6/3/23 15:25,-0.4661966,0
6/3/23 15:30,-0.4864866,0
6/3/23 15:35,-0.5208866,0
6/3/23 15:40,-0.5513966,0
